guid,word,specification term,translation,picture,pronunciation sound,ipa transcription,article,article pronunciation,gender,pos,order,example sentence(s),notes,test spelling?,tags
H5>bQ,heritage,,,,[sound:ipa_voc_da_Heritage4.mp3],,,,,,,,,,needfix
[+M(3,venomous,,,,[sound:ipa_voc_da_Venomous0.mp3],/ˈvɛnəməs/,,,,,,,,,
bkt]D,infinite,,,,[sound:ipa_voc_da_Infinite0.mp3],/ˈɪnfɪnɪt/,,,,,,,,,
;eh(R,vengeance,,,,[sound:ipa_voc_da_Vengeance0.mp3],/ˈvɛnˌdʒəns/,,,,,,,,,
OL4AP,essay,,,,[sound:ipa_voc_da_Essay1.mp3],/ɛˈseɪ/ ,,,,,,,,,
ibx$w=]Q;4,imbecile,,,,[sound:ipa_voc_da_imbecile0.mp3],[embəˈsiˀl]&nbsp;&nbsp; ,,,,,,,,,
P(0yy@L1aU,character,,,,[sound:ipa_voc_da_character0.mp3],/ˈkɛɹəktɚ/ ,,,,,,,,,
NRCo8rao+4,whereas,,,,[sound:ipa_voc_da_whereas0.mp3],/ʍɛːɹˈæz/ ,,,,,,,,,
g#~A3,Patsy,,,,,,,,,,,,,,
pk$eJ,Shrewd,,,,,,,,,,,,,,
z[3rI,Nightcap,,,,,,,,,,,,,,
md%WM,Slugger,,,,,,,,,,,,,,
c..mM,Defile,,,,,,,,,,,,,,
AI9i9,Bickering,,,,,,,,,,,,,,
i>GiN,Elope,,,,,,,,,,,,,,
6?(KT,Snarky,,,,,,,,,,,,,,
7/9%,Plod along,,,,,,,,,,,,,,
iNe1F,occur,,,,,/əˈkɝ/,,,,,,An idea that has occurred to me,to come to mind,,
IEgfM,shank,,,,,,,,,,,,,,
vp5lPo&kf(,Nuisance,,Fastidio,, [sound:cambridge-2cf167c2-006ee393-90690e57-64078f97-2034833b.mp3],/ˈnuː.səns/,,,,,,,,,
ArgGnjnh%T,Supposedly,,Presumibilmente,, [sound:cambridge-6f136ed3-78d28aa2-89d444de-07ec64a9-908dca92.mp3],/səˈpoʊ.zɪd.li/,,,,,,,,,
tU4&WZ{rK+,Corny,,,, [sound:cambridge-adc4c93d-b31a9693-ca2c26c5-297b5cc1-58ff2abb.mp3],,,,,,,"Showing no new ideas or too often repeated, and therefore not funny or interesting",,,
AcGwPJXys@,Big deal,,,,,,,,,,,,,,
H9PdT89{n+,Underplay,,,,,,,,,,,,,,
fp1~)13h];,Catch my drift,,,,,,,,,,,,,,
Ax6Yb[u|#-,Carried away,,,,,,,,,,,,,,
O+#I(Av^)(,To part,,,,,,,,,,,,,,
ws+r*usins,To split,,,,,,,,,,,,,,
k@[NgQg_`w,To divide,,,,,,,,,,,,,,
wH)/4cDHxJ,Hems,,,,,,,,,,,,,,
